Bulan,Hari Hujan (Perak),Curah Hujan (Perak),Hari Hujan (Juanda),Curah Hujan (Juanda),Maksimal Kelembaban (%) di Juanda,Minimal Kelembaban (%) di Juanda,Maksimal Tekanan Udara (Mbs) di Juanda,Minimal Tekanan Udara (Mbs) di Juanda,Maksimal Temperatur (Celcius)  di Juanda,Minimal Temperatur (Celcius)  di Juanda,Rata-rata Kelembaban (%) di Tanjung Perak,Rata-rata Tekanan Udara (Mbs) di Tanjung Perak,Rata-rata Temperatur (Celcius) di Tanjung Perak
Januari,14,284.1,22,167,97,52,1013.9,1008.8,35.4,23.5,76,1010.9,29.7
Februari ,27,409.3,28,590,98,58,1013.2,1008.7,34.0,24.1,81,1010.5,29.1
Maret,16,163.1,26,252,97,58,1013.7,1008.8,34.3,20.4,77,1010.7,30.0
April ,15,129.6,21,235,97,58,1012.5,1009.7,34.4,24.2,80,1010.3,29.6
Mei,21,358.8,21,393,95,57,1012.2,1008.3,33.7,23.6,78,1009.7,30.1
Juni,15,126.8,18,174,96,58,1013.4,1009.3,33.0,23.3,79,1010.6,29.4
Juli,15,90.1,19,258,97,52,1012.9,1009.3,32.2,23.8,78,1010.3,29.1
Agustus,6,38.2,10,101,91,43,1012.7,1000.0,32.6,22.4,72,1010.3,29.4
September,10,102.0,14,121,95,47,1013.4,1009.1,33.4,22.7,74,1010.0,29.7
Oktober,15,161.5,21,502,98,46,1011.5,1009.4,34.3,24.0,60,1009.5,29.1
November,17,117.9,5,53,90,38,1012.0,1009.3,35.6,24.6,79,1010.9,29.1
Desember,21,358.8,18,132,96,47,1013.2,1008.4,35.4,23.6,80,1007.7,28.5
