Lapangan Usaha,Inflasi (tahun 2017)
"Pertanian, Kehutanan dan Perikanan",3.35
Pertambangan dan Penggalian,2.58
Industri Pengolahan,4.95
Pengadaan Listrik dan Gas,1.75
"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",6.83
Konstruksi,6.92
"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",6.01
Trasportasi dan Pergudangan,6.87
Jasa Perusahaan,6.66
"Administrasi Pemerintahan, Pertanahan dan Jaminan Sosial",4.85
Jasa Pendidikan,4.85
Jasa Kesehatan dan Kegiatan Sosial,5.87
Jasa Lainnya,2.89
