Kecamatan,Laki-laki,Perempuan,"Jumlah/
Total"
Tegalsari,475,368,843
Genteng,255,225,480
Bubutan,421,375,796
Simokerto,347,340,687
Pabean Cantikan,341,287,628
Semampir,678,491,1169
Krembangan,631,493,1124
Kenjeran,501,371,872
Bulak,147,138,285
Tambaksari,1032,871,1903
Gubeng,575,584,1159
Rungkut,396,286,682
Tenggilis Mejoyo,215,165,380
Gunung Anyar,206,148,354
Sukolilo,401,358,759
Mulyorejo,286,227,513
Sawahan,915,818,1733
Wonokromo,660,638,1298
Karangpilang,270,239,509
Dukuh Pakis,256,187,443
Wiyung,253,241,494
Wonocolo,302,239,541
Gayungan,183,151,334
Jambangan,184,143,327
Tandes,379,311,690
Sukomanunggal,436,333,769
Asemrowo,175,116,291
Benowo,224,195,419
Lakarsantri,251,195,446
Pakal,198,170,368
Sambikerep,245,221,466
Jumlah,11838,9924,21762
