Kelompok Umur,Laki-laki,Perempuan,Jumlah
0 – 4,111524,105659,217183
5 – 9,114640,108390,223030
10 – 14,103696,99292,202988
15 – 19,105915,117883,223798
20 – 24,126867,137654,264521
25 – 29,145281,147321,292602
30 – 34,132554,132805,265359
35 – 39,122453,120964,243417
40 – 44,104370,106826,211196
45 – 49,84915,90832,175747
50 – 54,72796,74428,147224
55 – 59,54641,52647,107288
60 – 64,32668,35382,68050
65 – 69,24997,26742,51739
70 – 74,14798,18807,33605
75,13368,21193,34561
Jumlah,1367841,1397646,2765487
