Bulan,Golongan Darah A,Golongan Darah B,Golongan Darah AB,Golongan Darah O,Jumlah
Januari,2844,3781,841,5020,12486
Pebruari,2960,3946,912,5290,13108
Maret,3058,3938,919,5299,13214
April,2606,3615,834,4746,11801
Mei,2628,3583,810,4892,11913
Juni,2301,3009,693,4078,10081
Juli,2664,3588,764,4674,11690
Agustus,2743,3691,899,4824,12157
September,2518,3482,789,4605,11394
Oktober,3352,4504,1011,5905,14772
Nopember,2756,3682,887,4987,12312
Desember,2599,3449,749,4636,11433
Jumlah,33029,44268,10108,58956,146361
