Banyaknya Pelanggan Air Minum (2001-2016),,,,,,
Tahun,Rumah Tangga,Niaga,Industri,Sosial,Instansi Pemerintah,Jumlah
2000,248491,17825,808,6003,937,274064
2001,266104,19083,833,6205,948,293173
2002,278382,20545,833,6356,944,307060
2003,280102,20671,833,6374,968,308948
2004,304482,23791,853,6066,968,336160
2005,312297,24903,869,5972,1056,345097
2006,324585,26491,888,5487,1131,358582
2007,342509,27046,885,5030,1118,376588
2008,355799,27514,892,4968,1174,390347
2009,367456,28609,881,5114,1177,403237
2010,397040,29769,872,5132,1199,434012
2011,420140,31376,578,5209,1201,458504
2012,445714,32561,403,5283,1182,485143
2013,466529,33899,398,5513,1203,507542
2014,483875,35423,411,5727,1213,526649
2015,493042,36411,403,5857,1247,536960
2016,502124,38089,404,5957,1239,547813
