Jumlah PMA dan Nilai PMA Tahun 2016,,,,,
No,Negara,Jumlah Perusahaan,Investasi ($),Investasi (Rp),Jumlah Tenaga Kerja
1,Singapura,6,"109,513,200",0,566
s,Jepang,5,"22,852,900",0,249
3,British Virgin Islands,2,"17,926,000",0,300
4,Inggris,1,"15,555,600",0,400
5,Selandia Baru,1,"11,100,000",0,102
6,RR Tiongkok,9,"10,639,000",0,106
7,Gabungan Negara,6,"7,575,800",0,83
8,Korea Selatan,4,"5,393,600",0,136
9,Australia,3,"3,050,000",0,50
10,Malaysia,3,"2,829,600",0,17
11,India,1,"1,237,000",0,25
12,Jerman,1,"996,000",0,12
13,Indonesia,1,"979,600",0,104
Jumlah,,,"209,648,300",,"2,150"
